trait	location	collection_date
hCoV-19/Afghanistan/IMB07958/2020|EPI_ISL_1000998|2020-06-13	other	2020-06-13
hCoV-19/Afghanistan/IMB07962/2020|EPI_ISL_1001000|2020-06-02	other	2020-06-02
hCoV-19/Albania/210901066/2021|EPI_ISL_1299874|2021-01-12	other	2021-01-12
hCoV-19/Albania/un-ChVir25862_04/2021|EPI_ISL_3123560|2021-06-16	other	2021-06-16
hCoV-19/Albania/un-ChVir25862_07/2021|EPI_ISL_3123562|2021-07-06	other	2021-07-06
hCoV-19/Albania/un-ChVir25862_15/2021|EPI_ISL_3123565|2021-07-09	other	2021-07-09
hCoV-19/Andorra/202552/2020|EPI_ISL_539496|2020-03-13	other	2020-03-13
hCoV-19/Angola/CERI-KRISP-K013710/2020|EPI_ISL_2685967|2020-10-05	other	2020-10-05
hCoV-19/Angola/CERI-KRISP-K015455/2021|EPI_ISL_2617182|2021-05-04	other	2021-05-04
hCoV-19/Angola/CERI-KRISP-K015470/2021|EPI_ISL_2617056|2021-05-14	other	2021-05-14
hCoV-19/Angola/CERI-KRISP-K018928/2021|EPI_ISL_2841652|2021-04-18	other	2021-04-18
hCoV-19/Angola/CERI-KRISP-K018930/2021|EPI_ISL_2841654|2021-04-20	other	2021-04-20
hCoV-19/Angola/CERI-KRISP-K019087/2021|EPI_ISL_2893227|2021-03-31	other	2021-03-31
hCoV-19/Angola/KRISP-K009730/2021|EPI_ISL_1347910|2021-01-27	other	2021-01-27
hCoV-19/Angola/KRISP-K019167/2021|EPI_ISL_3118671|2021-03-31	other	2021-03-31
hCoV-19/Antigua_and_Barbuda/74106/2021|EPI_ISL_2716565|2021-04-07	other	2021-04-07
hCoV-19/Antigua_and_Barbuda/74112/2021|EPI_ISL_2716569|2021-05-03	other	2021-05-03
hCoV-19/Antigua_and_Barbuda/74113/2021|EPI_ISL_2716570|2021-05-06	other	2021-05-06
hCoV-19/Antigua_and_Barbuda/74114/2021|EPI_ISL_2716571|2021-05-06	other	2021-05-06
hCoV-19/Argentina/INEI099853/2021|EPI_ISL_2105568|2021-01-15	other	2021-01-15
hCoV-19/Argentina/INEI103281/2021|EPI_ISL_2136088|2021-03-31	other	2021-03-31
hCoV-19/Argentina/INEI103282/2021|EPI_ISL_2136089|2021-03-31	other	2021-03-31
hCoV-19/Argentina/INEI103378/2021|EPI_ISL_2135685|2021-03-31	other	2021-03-31
hCoV-19/Argentina/INEI104478/2021|EPI_ISL_2140145|2021-04-29	other	2021-04-29
hCoV-19/Argentina/PAIS-A0456/2021|EPI_ISL_1395786|2021-02-18	other	2021-02-18
hCoV-19/Argentina/PAIS-E0305/2021|EPI_ISL_3033086|2021-06-14	other	2021-06-14
hCoV-19/Argentina/PAIS-G0201/2021|EPI_ISL_2007562|2021-04-06	other	2021-04-06
hCoV-19/Argentina/PAIS-G0242/2021|EPI_ISL_2271693|2021-05-12	other	2021-05-12
hCoV-19/Aruba/AW-RIVM-10113/2020|EPI_ISL_547446|2020-03-17	other	2020-03-17
hCoV-19/Aruba/AW-RIVM-10115/2020|EPI_ISL_547448|2020-03-20	other	2020-03-20
hCoV-19/Aruba/AW-RIVM-16789/2021|EPI_ISL_1289228|2021-02-28	other	2021-02-28
hCoV-19/Aruba/AW-RIVM-26401/2021|EPI_ISL_1705874|2021-04-11	other	2021-04-11
hCoV-19/Aruba/AW-RIVM-27799/2021|EPI_ISL_1792358|2021-04-18	other	2021-04-18
hCoV-19/Aruba/AW-RIVM-28050/2021|EPI_ISL_1961900|2021-04-20	other	2021-04-20
hCoV-19/Aruba/AW-RIVM-28083/2021|EPI_ISL_1961916|2021-04-19	other	2021-04-19
hCoV-19/Aruba/AW-RIVM-33490/2021|EPI_ISL_2303027|2021-05-11	other	2021-05-11
hCoV-19/Aruba/AW-RIVM-39221/2021|EPI_ISL_2610682|2021-06-06	other	2021-06-06
hCoV-19/Aruba/AW-RIVM-39232/2021|EPI_ISL_2610693|2021-06-02	other	2021-06-02
hCoV-19/Aruba/AW-RIVM-41538/2021|EPI_ISL_2787813|2021-06-16	other	2021-06-16
hCoV-19/Australia/NSW-R0189/2021|EPI_ISL_1660407|2021-03-31	other	2021-03-31
hCoV-19/Australia/NSW-R0244/2021|EPI_ISL_2107445|2021-05-02	other	2021-05-02
hCoV-19/Australia/NSW-R0247/2021|EPI_ISL_2107447|2021-05-03	other	2021-05-03
hCoV-19/Australia/NSW-R0466/2021|EPI_ISL_2811818|2021-06-27	other	2021-06-27
hCoV-19/Australia/NSW-R0487/2021|EPI_ISL_2921615|2021-06-30	other	2021-06-30
hCoV-19/Australia/NSW-R0496/2021|EPI_ISL_3071997|2021-07-02	other	2021-07-02
hCoV-19/Australia/NSW-R0586/2021|EPI_ISL_3072069|2021-07-09	other	2021-07-09
hCoV-19/Australia/NT10001/2021|EPI_ISL_2322898|2021-04-15	other	2021-04-15
hCoV-19/Australia/NT160/2021|EPI_ISL_2250194|2021-04-14	other	2021-04-14
hCoV-19/Australia/QLD1802/2021|EPI_ISL_1465887|2021-03-31	other	2021-03-31
hCoV-19/Austria/CeMM0142/2020|EPI_ISL_583563|2020-02-26	other	2020-02-26
hCoV-19/Austria/CeMM0452/2020|EPI_ISL_475868|2020-03-22	other	2020-03-22
hCoV-19/Austria/CeMM0675/2020|EPI_ISL_583638|2020-05-15	other	2020-05-15
