trait	location	collection_date
hCoV-19/Afghanistan/IMB07964/2020|EPI_ISL_1001001|2020-05-30	other	2020-05-30
hCoV-19/Afghanistan/IMB07966/2020|EPI_ISL_1001002|2020-05-30	other	2020-05-30
hCoV-19/Albania/210901049/2021|EPI_ISL_1299858|2021-01-31	other	2021-01-31
hCoV-19/Albania/CO-00602-XXK000_1950_3/2021|EPI_ISL_9238008|2021-12-13	other	2021-12-13
hCoV-19/Algeria/57453/2021|EPI_ISL_3375634|2021-07-13	other	2021-07-13
hCoV-19/Algeria/90942/2021|EPI_ISL_8035611|2021-11-20	other	2021-11-20
hCoV-19/Algeria/90944/2021|EPI_ISL_8035613|2021-11-20	other	2021-11-20
hCoV-19/Algeria/95495-46/2021|EPI_ISL_7661152|2021-12-10	other	2021-12-10
hCoV-19/Algeria/G0638_2264/2020|EPI_ISL_418241|2020-03-02	other	2020-03-02
hCoV-19/Algeria/G37308-8864/2020|EPI_ISL_766875|2020-06-17	other	2020-06-17
hCoV-19/Andorra/202552/2020|EPI_ISL_539496|2020-03-13	other	2020-03-13
hCoV-19/Andorra/AND-233_2118213842_GC/2021|EPI_ISL_3384885|2021-06-25	other	2021-06-25
hCoV-19/Andorra/AND-234_2118213839_GC/2021|EPI_ISL_3384887|2021-06-25	other	2021-06-25
hCoV-19/Andorra/AND-244_213571362301_COV-GC/2021|EPI_ISL_9246197|2021-12-17	other	2021-12-17
hCoV-19/Andorra/AND-246_213571369701_COV-GC/2021|EPI_ISL_9246192|2021-12-26	other	2021-12-26
hCoV-19/Andorra/AND-249_213361421901_COV-GC/2021|EPI_ISL_7934518|2021-11-27	other	2021-11-27
hCoV-19/Andorra/AND-251_220121383801_COV-GC/2022|EPI_ISL_9458610|2022-01-08	other	2022-01-08
hCoV-19/Andorra/AND-251_220121386901_COV-GC/2022|EPI_ISL_9458613|2022-01-08	other	2022-01-08
hCoV-19/Angola/CERI-KRISP-K021755/2021|EPI_ISL_3859876|2021-05-01	other	2021-05-01
hCoV-19/Angola/CERI-KRISP-K033840/2021|EPI_ISL_9418712|2021-11-25	other	2021-11-25
hCoV-19/Angola/CERI-KRISP-K034391/2021|EPI_ISL_8927407|2021-10-23	other	2021-10-23
hCoV-19/Angola/CERI-KRISP-K034645/2021|EPI_ISL_9054176|2021-10-18	other	2021-10-18
hCoV-19/Angola/CERI-KRISP-K034648/2021|EPI_ISL_9054179|2021-10-21	other	2021-10-21
hCoV-19/Antigua_and_Barbuda/77142/2021|EPI_ISL_3642754|2021-05-05	other	2021-05-05
hCoV-19/Argentina/INEI112120/2021|EPI_ISL_6695305|2021-10-18	other	2021-10-18
hCoV-19/Argentina/INEI113151/2021|EPI_ISL_7753373|2021-11-09	other	2021-11-09
hCoV-19/Argentina/INEI115827/2021|EPI_ISL_9189257|2021-12-11	other	2021-12-11
hCoV-19/Argentina/INEI119007/2022|EPI_ISL_9861312|2022-01-14	other	2022-01-14
hCoV-19/Argentina/INEI119064/2022|EPI_ISL_10080860|2022-01-28	other	2022-01-28
hCoV-19/Argentina/INEI119082/2022|EPI_ISL_10080868|2022-02-01	other	2022-02-01
hCoV-19/Argentina/INEI119118/2022|EPI_ISL_10080886|2022-02-02	other	2022-02-02
hCoV-19/Argentina/PAIS-A0001/2020|EPI_ISL_430793|2020-03-01	other	2020-03-01
hCoV-19/Argentina/PAIS-A0403/2020|EPI_ISL_1396207|2020-12-12	other	2020-12-12
hCoV-19/Argentina/PAIS-E0564/2021|EPI_ISL_7464417|2021-11-08	other	2021-11-08
hCoV-19/Argentina/PAIS-G0148/2020|EPI_ISL_1396104|2020-07-15	other	2020-07-15
hCoV-19/Armenia/IMB11-12/2021|EPI_ISL_9018786|2021-10-27	other	2021-10-27
hCoV-19/Armenia/IMB12-24/2021|EPI_ISL_9018800|2021-11-06	other	2021-11-06
hCoV-19/Armenia/IMB17-4/2022|EPI_ISL_9018816|2022-01-11	other	2022-01-11
hCoV-19/Aruba/AW-RIVM-10114/2020|EPI_ISL_547447|2020-03-18	other	2020-03-18
hCoV-19/Aruba/AW-RIVM-71229/2021|EPI_ISL_7469596|2021-11-09	other	2021-11-09
hCoV-19/Aruba/AW-RIVM-71248/2021|EPI_ISL_7469615|2021-11-08	other	2021-11-08
hCoV-19/Aruba/AW-RIVM-77621/2021|EPI_ISL_8586668|2021-12-13	other	2021-12-13
hCoV-19/Aruba/AW-RIVM-77695/2021|EPI_ISL_8586742|2021-12-17	other	2021-12-17
hCoV-19/Aruba/AW-RIVM-82599/2022|EPI_ISL_9184724|2022-01-08	other	2022-01-08
hCoV-19/Aruba/AW-RIVM-82609/2022|EPI_ISL_9184734|2022-01-08	other	2022-01-08
hCoV-19/Australia/NSW-ICPMR-12328/2021|EPI_ISL_5936024|2021-10-25	other	2021-10-25
