trait	location	collection_date
hCoV-19/Albania/CO-00602-XXK000_1740_3/2021|EPI_ISL_9237997|2021-12-03	other	2021-12-03
hCoV-19/Albania/un-ChVir25862_04/2021|EPI_ISL_3123560|2021-06-16	other	2021-06-16
hCoV-19/Algeria/36421/2021|EPI_ISL_3161806|2021-05-10	other	2021-05-10
hCoV-19/Algeria/57433/2021|EPI_ISL_3375633|2021-07-13	other	2021-07-13
hCoV-19/Algeria/90942/2021|EPI_ISL_8035611|2021-11-20	other	2021-11-20
hCoV-19/Algeria/90944/2021|EPI_ISL_8035613|2021-11-20	other	2021-11-20
hCoV-19/Algeria/95495-46/2021|EPI_ISL_7661152|2021-12-10	other	2021-12-10
hCoV-19/Algeria/G38599-8859/2020|EPI_ISL_766871|2020-06-20	other	2020-06-20
hCoV-19/Andorra/202552/2020|EPI_ISL_539496|2020-03-13	other	2020-03-13
hCoV-19/Andorra/AND-235_212521294601_COV-GC/2021|EPI_ISL_4949311|2021-09-02	other	2021-09-02
hCoV-19/Andorra/AND-245_212871383501_COV-GC/2021|EPI_ISL_6125410|2021-10-07	other	2021-10-07
hCoV-19/Andorra/AND-247_212871383301_COV-GC/2021|EPI_ISL_6125407|2021-10-01	other	2021-10-01
hCoV-19/Andorra/AND-247_213001323001_COV-GC/2021|EPI_ISL_7589518|2021-10-22	other	2021-10-22
hCoV-19/Andorra/AND-249_213361423101_COV-GC/2021|EPI_ISL_7934519|2021-11-29	other	2021-11-29
hCoV-19/Andorra/AND-249_213431458701_COV-GC/2021|EPI_ISL_8185532|2021-12-07	other	2021-12-07
hCoV-19/Andorra/AND-251_220121386901_COV-GC/2022|EPI_ISL_9458613|2022-01-08	other	2022-01-08
hCoV-19/Andorre/AND-CHU-TLS-2121014533/2021|EPI_ISL_3452810|2021-07-17	other	2021-07-17
hCoV-19/Angola/CERI-KRISP-K013668/2020|EPI_ISL_2492761|2020-10-10	other	2020-10-10
hCoV-19/Angola/CERI-KRISP-K033821/2021|EPI_ISL_8578274|2021-11-10	other	2021-11-10
hCoV-19/Angola/CERI-KRISP-K033840/2021|EPI_ISL_9418712|2021-11-25	other	2021-11-25
hCoV-19/Angola/CERI-KRISP-K034629/2021|EPI_ISL_9054172|2021-10-16	other	2021-10-16
hCoV-19/Antigua_and_Barbuda/114015/2021|EPI_ISL_8936898|2021-12-26	other	2021-12-26
hCoV-19/Antigua_and_Barbuda/52171/2021|EPI_ISL_2478964|2021-01-26	other	2021-01-26
hCoV-19/Antigua_and_Barbuda/77140/2021|EPI_ISL_3642755|2021-05-05	other	2021-05-05
hCoV-19/Antigua_and_Barbuda/99624/2021|EPI_ISL_6932141|2021-10-11	other	2021-10-11
hCoV-19/Antigua_and_Barbuda/99642/2021|EPI_ISL_6932163|2021-10-11	other	2021-10-11
hCoV-19/Argentina/INEI097378/2020|EPI_ISL_856770|2020-11-25	other	2020-11-25
hCoV-19/Argentina/INEI104410/2021|EPI_ISL_2140110|2021-04-17	other	2021-04-17
hCoV-19/Argentina/INEI110459/2021|EPI_ISL_5159214|2021-08-23	other	2021-08-23
hCoV-19/Argentina/INEI111771/2021|EPI_ISL_6695154|2021-10-12	other	2021-10-12
hCoV-19/Argentina/INEI112921/2021|EPI_ISL_8688655|2021-10-28	other	2021-10-28
hCoV-19/Argentina/INEI113525/2021|EPI_ISL_8688574|2021-11-09	other	2021-11-09
hCoV-19/Argentina/INEI114505/2021|EPI_ISL_8689129|2021-11-26	other	2021-11-26
hCoV-19/Argentina/INEI115407/2021|EPI_ISL_9189606|2021-12-04	other	2021-12-04
hCoV-19/Argentina/INEI115704/2021|EPI_ISL_9189225|2021-12-17	other	2021-12-17
hCoV-19/Argentina/INEI117714/2022|EPI_ISL_9191865|2022-01-10	other	2022-01-10
hCoV-19/Argentina/INEI118248/2022|EPI_ISL_9261727|2022-01-12	other	2022-01-12
hCoV-19/Argentina/PAIS-A1045/2020|EPI_ISL_4405714|2020-06-23	other	2020-06-23
hCoV-19/Argentina/PAIS-B0026/2020|EPI_ISL_1396266|2020-07-09	other	2020-07-09
hCoV-19/Argentina/PAIS-B0051/2020|EPI_ISL_1396291|2020-07-31	other	2020-07-31
hCoV-19/Armenia/IMB11-12/2021|EPI_ISL_9018786|2021-10-27	other	2021-10-27
hCoV-19/Armenia/IMB12-16/2021|EPI_ISL_9018793|2021-11-06	other	2021-11-06
hCoV-19/Armenia/IMB12-19/2021|EPI_ISL_9018795|2021-11-06	other	2021-11-06
hCoV-19/Armenia/IMB15-16/2021|EPI_ISL_9018804|2021-12-29	other	2021-12-29
hCoV-19/Armenia/IMB16-14/2022|EPI_ISL_9018811|2022-01-05	other	2022-01-05
hCoV-19/Armenia/IMB17-17/2022|EPI_ISL_9018826|2022-01-11	other	2022-01-11
hCoV-19/Armenia/UW-ARM28/2020|EPI_ISL_1854622|2020-08-20	other	2020-08-20
hCoV-19/Armenia/UW-ARM39/2020|EPI_ISL_1854633|2020-08-31	other	2020-08-31
hCoV-19/Armenia/UW-ARM47/2020|EPI_ISL_1854641|2020-09-07	other	2020-09-07
hCoV-19/Aruba/AW-RIVM-20142/2021|EPI_ISL_1456502|2021-03-08	other	2021-03-08
hCoV-19/Aruba/AW-RIVM-27483/2021|EPI_ISL_1792323|2021-04-13	other	2021-04-13
hCoV-19/Aruba/AW-RIVM-66057/2021|EPI_ISL_5967691|2021-10-12	other	2021-10-12
hCoV-19/Aruba/AW-RIVM-66166/2021|EPI_ISL_5967861|2021-10-10	other	2021-10-10
hCoV-19/Aruba/AW-RIVM-73797/2021|EPI_ISL_7784997|2021-11-28	other	2021-11-28
hCoV-19/Aruba/AW-RIVM-74163/2021|EPI_ISL_7785017|2021-12-01	other	2021-12-01
