name,accession,date,location,lineage
hCoV-19/Afghanistan/2870x0031_23798/2021|EPI_ISL_4572754|2021-05-05,EPI_ISL_4572754,2021-05-05,Afghanistan,B.1.1.7
hCoV-19/Afghanistan/2870x0078_23483/2021|EPI_ISL_4572779|2021-03-26,EPI_ISL_4572779,2021-03-26,Afghanistan,B.1.1.7
hCoV-19/Albania/210901052/2021|EPI_ISL_1299861|2021-03-01,EPI_ISL_1299861,2021-03-01,Albania,B.1.1.7
hCoV-19/Albania/210901063/2021|EPI_ISL_1299871|2021-03-08,EPI_ISL_1299871,2021-03-08,Albania,B.1.1.7
hCoV-19/Albania/211060667/2021|EPI_ISL_1299884|2021-03-11,EPI_ISL_1299884,2021-03-11,Albania,B.1.1.7
hCoV-19/Albania/Cento-30536457/2020|EPI_ISL_815257|2020-09-05,EPI_ISL_815257,2020-09-05,Albania,B.1.236
hCoV-19/Albania/un-ChVir25862_04/2021|EPI_ISL_3123560|2021-06-16,EPI_ISL_3123560,2021-06-16,Albania,AY.9
hCoV-19/Algeria/76465/2021|EPI_ISL_5052212|2021-09-01,EPI_ISL_5052212,2021-09-01,Algeria,AY.109
hCoV-19/Algeria/92827/2021|EPI_ISL_7880242|2021-11-30,EPI_ISL_7880242,2021-11-30,Algeria,BA.1
hCoV-19/Algeria/95495-46/2021|EPI_ISL_7661152|2021-12-10,EPI_ISL_7661152,2021-12-10,Algeria,BA.1
hCoV-19/American_Samoa/AS-CDC-2-5343436/2021|EPI_ISL_8681211|2021-11-04,EPI_ISL_8681211,2021-11-04,AmericanSamoa,AY.103
hCoV-19/American_Samoa/AS-CDC-2-5343532/2021|EPI_ISL_8682172|2021-12-09,EPI_ISL_8682172,2021-12-09,AmericanSamoa,BA.1.1
hCoV-19/American_Samoa/AS-CDC-FG-188657/2021|EPI_ISL_7698792|2021-12-03,EPI_ISL_7698792,2021-12-03,AmericanSamoa,AY.44
hCoV-19/Andorra/AND-236_2123012553_COV-GC/2021|EPI_ISL_4251905|2021-08-05,EPI_ISL_4251905,2021-08-05,Andorra,AY.42
hCoV-19/Andorra/AND-245_213501452801_COV-GC/2021|EPI_ISL_8185534|2021-12-10,EPI_ISL_8185534,2021-12-10,Andorra,AY.125
hCoV-19/Andorra/AND-247_212871383301_COV-GC/2021|EPI_ISL_6125407|2021-10-01,EPI_ISL_6125407,2021-10-01,Andorra,AY.42
hCoV-19/Andorra/AND-249_213361423101_COV-GC/2021|EPI_ISL_7934519|2021-11-29,EPI_ISL_7934519,2021-11-29,Andorra,AY.125
hCoV-19/Andorra/AND-251_220121383801_COV-GC/2022|EPI_ISL_9458610|2022-01-08,EPI_ISL_9458610,2022-01-08,Andorra,BA.1
hCoV-19/Andorre/AND-CHU-TLS-2121014533/2021|EPI_ISL_3452810|2021-07-17,EPI_ISL_3452810,2021-07-17,Andorra,AY.43
hCoV-19/Angola/CERI-KRISP-K021697/2021|EPI_ISL_3859875|2021-07-06,EPI_ISL_3859875,2021-07-06,Angola,AY.91
hCoV-19/Angola/CERI-KRISP-K026851/2021|EPI_ISL_6422228|2021-08-24,EPI_ISL_6422228,2021-08-24,Angola,AY.91
hCoV-19/Angola/CERI-KRISP-K033821/2021|EPI_ISL_8578274|2021-11-10,EPI_ISL_8578274,2021-11-10,Angola,AY.91
hCoV-19/Angola/CERI-KRISP-K034691/2021|EPI_ISL_9072295|2021-10-21,EPI_ISL_9072295,2021-10-21,Angola,AY.91
hCoV-19/Antigua_and_Barbuda/114017/2021|EPI_ISL_8936862|2021-12-26,EPI_ISL_8936862,2021-12-26,AntiguaandBarbuda,BA.1.17.2
hCoV-19/Antigua_and_Barbuda/73637/2021|EPI_ISL_2955593|2021-02-17,EPI_ISL_2955593,2021-02-17,AntiguaandBarbuda,B.1.1.7
hCoV-19/Argentina/INEI107252/2021|EPI_ISL_4083138|2021-07-01,EPI_ISL_4083138,2021-07-01,Argentina,P.1
hCoV-19/Argentina/INEI107835/2021|EPI_ISL_4083386|2021-07-06,EPI_ISL_4083386,2021-07-06,Argentina,P.1.15
hCoV-19/Argentina/INEI113683/2021|EPI_ISL_8689365|2021-11-14,EPI_ISL_8689365,2021-11-14,Argentina,AY.43
hCoV-19/Argentina/INEI116882/2021|EPI_ISL_9192319|2021-12-22,EPI_ISL_9192319,2021-12-22,Argentina,AY.25
hCoV-19/Argentina/INEI118794/2022|EPI_ISL_9861207|2022-01-14,EPI_ISL_9861207,2022-01-14,Argentina,BA.1.1
hCoV-19/Argentina/INEI119267/2022|EPI_ISL_10320326|2022-02-06,EPI_ISL_10320326,2022-02-06,Argentina,BA.1.1
hCoV-19/Argentina/PAIS-A0008/2020|EPI_ISL_430800|2020-03-30,EPI_ISL_430800,2020-03-30,Argentina,B.1
hCoV-19/Argentina/PAIS-A0711/2020|EPI_ISL_4404839|2020-11-01,EPI_ISL_4404839,2020-11-01,Argentina,B.1.499
