name,accession,date,location,lineage
hCoV-19/Afghanistan/2870x0078_23483/2021|EPI_ISL_4572779|2021-03-26,EPI_ISL_4572779,2021-03-26,Afghanistan,B.1.1.7
hCoV-19/Albania/210901057/2020|EPI_ISL_1299866|2020-12-30,EPI_ISL_1299866,2020-12-30,Albania,B.1.1.7
hCoV-19/Albania/210901066/2021|EPI_ISL_1299874|2021-01-12,EPI_ISL_1299874,2021-01-12,Albania,B.1.1.7
hCoV-19/Albania/Cento-30536457/2020|EPI_ISL_815257|2020-09-05,EPI_ISL_815257,2020-09-05,Albania,B.1.236
hCoV-19/Albania/un-ChVir25862_04/2021|EPI_ISL_3123560|2021-06-16,EPI_ISL_3123560,2021-06-16,Albania,AY.9
hCoV-19/Albania/un-ChVir25862_18/2021|EPI_ISL_3124041|2021-07-09,EPI_ISL_3124041,2021-07-09,Albania,AY.4
hCoV-19/Algeria/00018/2021|EPI_ISL_5052207|2021-07-30,EPI_ISL_5052207,2021-07-30,Algeria,AY.20
hCoV-19/Algeria/03594/2021|EPI_ISL_5052209|2021-08-14,EPI_ISL_5052209,2021-08-14,Algeria,AY.39
hCoV-19/Algeria/36421/2021|EPI_ISL_3161806|2021-05-10,EPI_ISL_3161806,2021-05-10,Algeria,B.1.617.2
hCoV-19/Algeria/43106/2021|EPI_ISL_3718528|2021-06-02,EPI_ISL_3718528,2021-06-02,Algeria,B.1.1.7
hCoV-19/Algeria/76465/2021|EPI_ISL_5052212|2021-09-01,EPI_ISL_5052212,2021-09-01,Algeria,AY.109
hCoV-19/Algeria/G35155-8850/2020|EPI_ISL_766864|2020-07-15,EPI_ISL_766864,2020-07-15,Algeria,B.1.1
hCoV-19/Algeria/G38882-8853/2020|EPI_ISL_766866|2020-06-20,EPI_ISL_766866,2020-06-20,Algeria,B.1.597
hCoV-19/Andorra/AND-242_2123012547_COV-GC/2021|EPI_ISL_4251906|2021-08-09,EPI_ISL_4251906,2021-08-09,Andorra,AY.43
hCoV-19/Andorra/AND-242_212461287301_COV-GC/2021|EPI_ISL_4949312|2021-08-24,EPI_ISL_4949312,2021-08-24,Andorra,AY.9.2
hCoV-19/Andorra/AND-242_212721322001_COV-GC/2021|EPI_ISL_5684469|2021-09-22,EPI_ISL_5684469,2021-09-22,Andorra,AY.44
hCoV-19/Andorra/AND-245_212871383801_COV-GC/2021|EPI_ISL_6125409|2021-10-09,EPI_ISL_6125409,2021-10-09,Andorra,AY.124
hCoV-19/Andorra/AND-247_212871382801_COV-GC/2021|EPI_ISL_6125408|2021-09-29,EPI_ISL_6125408,2021-09-29,Andorra,AY.42
hCoV-19/Andorra/AND-247_212871383301_COV-GC/2021|EPI_ISL_6125407|2021-10-01,EPI_ISL_6125407,2021-10-01,Andorra,AY.42
hCoV-19/Angola/CERI-KRISP-K013550/2020|EPI_ISL_2492782|2020-12-04,EPI_ISL_2492782,2020-12-04,Angola,B.1.351
hCoV-19/Angola/CERI-KRISP-K026835/2021|EPI_ISL_6422213|2021-08-25,EPI_ISL_6422213,2021-08-25,Angola,AY.116
hCoV-19/Angola/CERI-KRISP-K026841/2021|EPI_ISL_6422218|2021-09-11,EPI_ISL_6422218,2021-09-11,Angola,B.1.617.2
hCoV-19/Angola/CERI-KRISP-K026864/2021|EPI_ISL_6422238|2021-08-30,EPI_ISL_6422238,2021-08-30,Angola,AY.91
hCoV-19/Angola/CERI-KRISP-K027332/2021|EPI_ISL_6511771|2021-10-01,EPI_ISL_6511771,2021-10-01,Angola,AY.116
hCoV-19/Angola/CERI-KRISP-K027338/2021|EPI_ISL_6511777|2021-09-21,EPI_ISL_6511777,2021-09-21,Angola,AY.91
hCoV-19/Angola/CERI-KRISP-K027364/2021|EPI_ISL_6511801|2021-10-01,EPI_ISL_6511801,2021-10-01,Angola,AY.91
hCoV-19/Antigua_and_Barbuda/52171/2021|EPI_ISL_2478964|2021-01-26,EPI_ISL_2478964,2021-01-26,AntiguaandBarbuda,B.1.1.318
hCoV-19/Antigua_and_Barbuda/73648/2021|EPI_ISL_2955590|2021-03-17,EPI_ISL_2955590,2021-03-17,AntiguaandBarbuda,B.1.1.7
hCoV-19/Antigua_and_Barbuda/74113/2021|EPI_ISL_2716570|2021-05-06,EPI_ISL_2716570,2021-05-06,AntiguaandBarbuda,B.1.1.7
hCoV-19/Antigua_and_Barbuda/74114/2021|EPI_ISL_2716571|2021-05-06,EPI_ISL_2716571,2021-05-06,AntiguaandBarbuda,B.1.1.7
hCoV-19/Antigua_and_Barbuda/79578/2021|EPI_ISL_3655540|2021-07-18,EPI_ISL_3655540,2021-07-18,AntiguaandBarbuda,AY.75
hCoV-19/Antigua_and_Barbuda/83145/2021|EPI_ISL_4055921|2021-08-05,EPI_ISL_4055921,2021-08-05,AntiguaandBarbuda,B.1.617.2
hCoV-19/Antigua_and_Barbuda/83149/2021|EPI_ISL_4063332|2021-08-06,EPI_ISL_4063332,2021-08-06,AntiguaandBarbuda,B.1.617.2
hCoV-19/Antigua_and_Barbuda/99624/2021|EPI_ISL_6932141|2021-10-11,EPI_ISL_6932141,2021-10-11,AntiguaandBarbuda,AY.4
hCoV-19/Antigua_and_Barbuda/99639/2021|EPI_ISL_6932123|2021-10-09,EPI_ISL_6932123,2021-10-09,AntiguaandBarbuda,AY.98
hCoV-19/Argentina/INEI106257/2021|EPI_ISL_4082632|2021-06-10,EPI_ISL_4082632,2021-06-10,Argentina,P.1.15
hCoV-19/Argentina/INEI110022/2021|EPI_ISL_6694499|2021-08-21,EPI_ISL_6694499,2021-08-21,Argentina,C.37
hCoV-19/Argentina/INEI110864/2021|EPI_ISL_5656190|2021-08-31,EPI_ISL_5656190,2021-08-31,Argentina,P.1.15
hCoV-19/Argentina/INEI111147/2021|EPI_ISL_6694819|2021-09-20,EPI_ISL_6694819,2021-09-20,Argentina,AY.20
hCoV-19/Argentina/INEI111306/2021|EPI_ISL_6694940|2021-09-16,EPI_ISL_6694940,2021-09-16,Argentina,P.1.15
hCoV-19/Argentina/INEI112043/2021|EPI_ISL_6695254|2021-10-16,EPI_ISL_6695254,2021-10-16,Argentina,AY.25
hCoV-19/Argentina/INEI112086/2021|EPI_ISL_6695280|2021-10-09,EPI_ISL_6695280,2021-10-09,Argentina,C.37
hCoV-19/Argentina/PAIS-E0541/2021|EPI_ISL_6680242|2021-11-16,EPI_ISL_6680242,2021-11-16,Argentina,AY.103
hCoV-19/Argentina/PAIS-G0177/2020|EPI_ISL_1396097|2020-07-13,EPI_ISL_1396097,2020-07-13,Argentina,B.1.499
hCoV-19/Argentina/PAIS-J00117/2021|EPI_ISL_6863838|2021-11-15,EPI_ISL_6863838,2021-11-15,Argentina,AY.25.3
hCoV-19/Armenia/IMB8-4/2021|EPI_ISL_3543640|2021-08-04,EPI_ISL_3543640,2021-08-04,Armenia,AY.122
hCoV-19/Armenia/IMB8-7/2021|EPI_ISL_3543643|2021-08-05,EPI_ISL_3543643,2021-08-05,Armenia,AY.122
hCoV-19/Aruba/AW-RIVM-11554/2021|EPI_ISL_1014635|2021-01-28,EPI_ISL_1014635,2021-01-28,Aruba,C.2.1
hCoV-19/Aruba/AW-RIVM-15906/2021|EPI_ISL_1232581|2021-02-22,EPI_ISL_1232581,2021-02-22,Aruba,B.1.1.519
hCoV-19/Aruba/AW-RIVM-18293/2021|EPI_ISL_1370558|2021-03-10,EPI_ISL_1370558,2021-03-10,Aruba,B.1.1.7
hCoV-19/Aruba/AW-RIVM-28056/2021|EPI_ISL_1961903|2021-04-19,EPI_ISL_1961903,2021-04-19,Aruba,B.1.1.7
hCoV-19/Aruba/AW-RIVM-29811/2021|EPI_ISL_1962176|2021-04-24,EPI_ISL_1962176,2021-04-24,Aruba,B.1.1.7
hCoV-19/Aruba/AW-RIVM-39240/2021|EPI_ISL_2610701|2021-06-03,EPI_ISL_2610701,2021-06-03,Aruba,B.1.621
hCoV-19/Aruba/AW-RIVM-54920/2021|EPI_ISL_3919495|2021-08-18,EPI_ISL_3919495,2021-08-18,Aruba,AY.25.1
hCoV-19/Aruba/AW-RIVM-55245/2021|EPI_ISL_4077231|2021-08-09,EPI_ISL_4077231,2021-08-09,Aruba,AY.9.2
hCoV-19/Aruba/AW-RIVM-61861/2021|EPI_ISL_4992970|2021-09-19,EPI_ISL_4992970,2021-09-19,Aruba,AY.4.7
hCoV-19/Aruba/AW-RIVM-62842/2021|EPI_ISL_4993174|2021-09-22,EPI_ISL_4993174,2021-09-22,Aruba,AY.9.2
hCoV-19/Aruba/AW-RIVM-65086/2021|EPI_ISL_5821834|2021-10-10,EPI_ISL_5821834,2021-10-10,Aruba,AY.25.1
hCoV-19/Aruba/AW-RIVM-66094/2021|EPI_ISL_5967759|2021-10-14,EPI_ISL_5967759,2021-10-14,Aruba,AY.121
hCoV-19/Aruba/AW-RIVM-69694/2021|EPI_ISL_6852649|2021-11-07,EPI_ISL_6852649,2021-11-07,Aruba,AY.25.1
hCoV-19/Aruba/AW-RIVM-69701/2021|EPI_ISL_6852656|2021-11-07,EPI_ISL_6852656,2021-11-07,Aruba,AY.43
hCoV-19/Australia/ACT0599/2021|EPI_ISL_4263263|2021-09-11,EPI_ISL_4263263,2021-09-11,Australia,AY.39.1.3
