name,accession,date,location,lineage
hCoV-19/Afghanistan/IMB07958/2020|EPI_ISL_1000998|2020-06-13,EPI_ISL_1000998,2020-06-13,Afghanistan,B.1.36
hCoV-19/Afghanistan/IMB07962/2020|EPI_ISL_1001000|2020-06-02,EPI_ISL_1001000,2020-06-02,Afghanistan,B.1
hCoV-19/Albania/210901066/2021|EPI_ISL_1299874|2021-01-12,EPI_ISL_1299874,2021-01-12,Albania,B.1.1.7
hCoV-19/Albania/un-ChVir25862_03/2021|EPI_ISL_3123559|2021-06-16,EPI_ISL_3123559,2021-06-16,Albania,B.1.617.2
hCoV-19/Albania/un-ChVir25862_04/2021|EPI_ISL_3123560|2021-06-16,EPI_ISL_3123560,2021-06-16,Albania,AY.9
hCoV-19/Albania/un-ChVir25862_07/2021|EPI_ISL_3123562|2021-07-06,EPI_ISL_3123562,2021-07-06,Albania,AY.122
hCoV-19/Albania/un-ChVir25862_15/2021|EPI_ISL_3123565|2021-07-09,EPI_ISL_3123565,2021-07-09,Albania,AY.2
hCoV-19/Andorra/202552/2020|EPI_ISL_539496|2020-03-13,EPI_ISL_539496,2020-03-13,Andorra,B.1
hCoV-19/Angola/CERI-KRISP-K013451/2020|EPI_ISL_2492731|2020-12-09,EPI_ISL_2492731,2020-12-09,Angola,B.1.351
hCoV-19/Angola/CERI-KRISP-K013710/2020|EPI_ISL_2685967|2020-10-05,EPI_ISL_2685967,2020-10-05,Angola,B.1.351
hCoV-19/Angola/CERI-KRISP-K014920/2021|EPI_ISL_2492837|2021-04-16,EPI_ISL_2492837,2021-04-16,Angola,B.1.1.7
hCoV-19/Angola/CERI-KRISP-K015455/2021|EPI_ISL_2617182|2021-05-04,EPI_ISL_2617182,2021-05-04,Angola,B.1.617.2
hCoV-19/Angola/CERI-KRISP-K015470/2021|EPI_ISL_2617056|2021-05-14,EPI_ISL_2617056,2021-05-14,Angola,B.1.1.318
hCoV-19/Angola/CERI-KRISP-K018928/2021|EPI_ISL_2841652|2021-04-18,EPI_ISL_2841652,2021-04-18,Angola,B.1.617.2
hCoV-19/Angola/CERI-KRISP-K018930/2021|EPI_ISL_2841654|2021-04-20,EPI_ISL_2841654,2021-04-20,Angola,B.1.617.2
hCoV-19/Angola/CERI-KRISP-K019061/2021|EPI_ISL_2893230|2021-03-31,EPI_ISL_2893230,2021-03-31,Angola,B.1.214.3
hCoV-19/Angola/CERI-KRISP-K019087/2021|EPI_ISL_2893227|2021-03-31,EPI_ISL_2893227,2021-03-31,Angola,B.1.1.7
hCoV-19/Angola/KRISP-K009730/2021|EPI_ISL_1347910|2021-01-27,EPI_ISL_1347910,2021-01-27,Angola,B.1.1.7
hCoV-19/Angola/KRISP-K019167/2021|EPI_ISL_3118671|2021-03-31,EPI_ISL_3118671,2021-03-31,Angola,B.1.1.7
hCoV-19/Angola/KRISP-K019431/2021|EPI_ISL_3118684|2021-03-31,EPI_ISL_3118684,2021-03-31,Angola,C.16
hCoV-19/Antigua_and_Barbuda/74106/2021|EPI_ISL_2716565|2021-04-07,EPI_ISL_2716565,2021-04-07,AntiguaandBarbuda,B.1.1.7
hCoV-19/Antigua_and_Barbuda/74112/2021|EPI_ISL_2716569|2021-05-03,EPI_ISL_2716569,2021-05-03,AntiguaandBarbuda,B.1.526
hCoV-19/Antigua_and_Barbuda/74113/2021|EPI_ISL_2716570|2021-05-06,EPI_ISL_2716570,2021-05-06,AntiguaandBarbuda,B.1.1.7
hCoV-19/Antigua_and_Barbuda/74114/2021|EPI_ISL_2716571|2021-05-06,EPI_ISL_2716571,2021-05-06,AntiguaandBarbuda,B.1.1.7
hCoV-19/Argentina/INEI099853/2021|EPI_ISL_2105568|2021-01-15,EPI_ISL_2105568,2021-01-15,Argentina,B.1.1.519
hCoV-19/Argentina/INEI103281/2021|EPI_ISL_2136088|2021-03-31,EPI_ISL_2136088,2021-03-31,Argentina,B.1.1.7
hCoV-19/Argentina/INEI103282/2021|EPI_ISL_2136089|2021-03-31,EPI_ISL_2136089,2021-03-31,Argentina,B.1.1.7
hCoV-19/Argentina/INEI103378/2021|EPI_ISL_2135685|2021-03-31,EPI_ISL_2135685,2021-03-31,Argentina,P.1.15
hCoV-19/Argentina/INEI104478/2021|EPI_ISL_2140145|2021-04-29,EPI_ISL_2140145,2021-04-29,Argentina,P.1.17
hCoV-19/Argentina/PAIS-A0456/2021|EPI_ISL_1395786|2021-02-18,EPI_ISL_1395786,2021-02-18,Argentina,B.1.427
hCoV-19/Argentina/PAIS-D0116/2020|EPI_ISL_1396385|2020-10-23,EPI_ISL_1396385,2020-10-23,Argentina,C.26
hCoV-19/Argentina/PAIS-E0017/2020|EPI_ISL_1395850|2020-07-30,EPI_ISL_1395850,2020-07-30,Argentina,B.1.499
hCoV-19/Argentina/PAIS-E0103/2020|EPI_ISL_792525|2020-12-22,EPI_ISL_792525,2020-12-22,Argentina,P.2
hCoV-19/Argentina/PAIS-E0305/2021|EPI_ISL_3033086|2021-06-14,EPI_ISL_3033086,2021-06-14,Argentina,P.1
hCoV-19/Argentina/PAIS-G0201/2021|EPI_ISL_2007562|2021-04-06,EPI_ISL_2007562,2021-04-06,Argentina,B.1.427
